subject,video_name,start_frame,apex_frame,end_frame,type_idx,au
casme_015,casme_015_0401,557,572,608,1,4+10+14
casme_015,casme_015_0401,2854,2862,2871,1,38
casme_015,casme_015_0402,2155,2163,0,1,4
casme_015,casme_015_0402,3363,3371,3383,1,4
casme_015,casme_015_0402,3380,3386,3407,1,4
casme_015,casme_015_0402,3738,3757,3822,1,4+7
casme_015,casme_015_0402,3761,3771,3779,1,24
casme_015,casme_015_0101,1195,1218,1266,1,4+7
casme_015,casme_015_0102,396,401,430,1,4
casme_015,casme_015_0102,407,414,435,1,4
casme_015,casme_015_0102,699,703,707,2,43
casme_015,casme_015_0102,781,790,802,1,4+43
casme_015,casme_015_0502,138,142,148,2,43
casme_015,casme_015_0502,178,190,0,1,6+12
casme_015,casme_015_0502,2203,2218,2227,1,12
casme_015,casme_015_0503,2457,2476,2510,1,6+12+15
casme_015,casme_015_0505,1403,1412,1436,1,30+38
casme_016,casme_016_0401,554,569,617,1,4
casme_016,casme_016_0401,1656,1675,1700,1,4
casme_016,casme_016_0401,1741,1758,1780,1,4+24
casme_016,casme_016_0401,3580,3589,3599,1,24
casme_016,casme_016_0402,415,421,457,1,4
casme_016,casme_016_0402,1382,1391,1416,1,4
casme_016,casme_016_0402,1540,1555,1577,1,4
casme_016,casme_016_0402,1865,1881,1911,1,4
casme_016,casme_016_0402,2149,2162,2210,1,4
casme_016,casme_016_0402,2712,2724,2752,1,14
casme_016,casme_016_0402,2905,2912,2937,1,4
casme_016,casme_016_0402,3409,3421,3461,1,4
casme_016,casme_016_0402,3932,3943,0,1,4
casme_016,casme_016_0101,167,184,199,1,4
casme_016,casme_016_0101,333,346,0,1,4
casme_016,casme_016_0101,552,559,565,2,1+2
casme_016,casme_016_0101,697,715,725,1,4
casme_016,casme_016_0101,915,942,965,1,4
casme_016,casme_016_0101,1228,1237,1284,1,4
casme_016,casme_016_0101,1792,1799,1836,1,4+14
casme_016,casme_016_0101,1794,1808,1842,1,4+14
casme_016,casme_016_0102,187,214,240,1,4
casme_016,casme_016_0102,173,186,248,1,14
casme_016,casme_016_0102,270,275,278,2,10
casme_016,casme_016_0102,317,354,400,1,4+14+17
casme_016,casme_016_0102,322,334,356,1,4
casme_016,casme_016_0102,322,334,359,1,45+62
casme_016,casme_016_0102,420,430,445,1,4+7+15+42
casme_016,casme_016_0102,526,535,543,1,4+7+17
casme_016,casme_016_0102,720,727,741,1,45
casme_016,casme_016_0502,323,329,334,2,1+2
casme_016,casme_016_0502,338,347,373,1,6+12
casme_016,casme_016_0502,850,880,894,1,4
casme_016,casme_016_0502,1098,1114,1148,1,14+15
casme_016,casme_016_0502,1405,1415,1441,1,12
casme_016,casme_016_0502,1470,1480,1523,1,14
casme_016,casme_016_0502,2193,2207,2220,1,21
casme_016,casme_016_0505,68,77,89,1,12+14
casme_016,casme_016_0505,396,400,407,2,2
casme_016,casme_016_0505,991,997,0,1,12
casme_016,casme_016_0505,1135,1148,1205,1,6+12+14
casme_016,casme_016_0505,1352,1358,1388,1,2
casme_016,casme_016_0505,1595,1604,1615,1,2
casme_016,casme_016_0505,1610,1625,1678,1,12+6
casme_016,casme_016_0505,1695,1703,1710,2,2
casme_016,casme_016_0505,1880,1886,1895,2,2
casme_016,casme_016_0505,1902,1915,1952,1,12+6
casme_016,casme_016_0505,2239,2261,2295,1,6+12+14
casme_016,casme_016_0507,844,858,870,1,6+12+14
casme_016,casme_016_0507,1571,1584,1633,1,6+12+14
casme_016,casme_016_0507,1958,1961,1968,2,1+2
casme_016,casme_016_0507,2285,2291,2295,2,6+12+14
casme_016,casme_016_0507,2338,2344,2411,1,12+14+28+24
casme_016,casme_016_0507,3169,3180,3215,1,6+12
casme_019,casme_019_0102,822,841,865,1,45+14
casme_019,casme_019_0102,887,897,926,1,45+14+12
casme_019,casme_019_0402,1927,1933,1942,2,14
casme_019,casme_019_0505,1755,1771,1808,1,12
casme_019,casme_019_0507,2977,2986,3039,1,24+12
casme_020,casme_020_0502,981,993,999,1,12
casme_020,casme_020_0502,1125,1137,1161,1,6+12
casme_020,casme_020_0502,1403,1432,1499,1,6+12
casme_021,casme_021_0401,3379,3386,3411,1,24
casme_021,casme_021_0101,169,177,191,1,24
casme_022,casme_022_0402,3246,3270,0,1,14
casme_022,casme_022_0101,366,376,393,1,4+7+9
casme_022,casme_022_0101,380,391,0,1,14
casme_022,casme_022_0101,510,525,0,1,4
casme_022,casme_022_0101,1562,1571,1580,1,4+6+7
casme_022,casme_022_0101,1573,1578,0,1,14
casme_022,casme_022_0101,1645,1650,0,1,4+7
casme_022,casme_022_0101,1706,1716,1728,1,14
casme_022,casme_022_0101,1752,1760,1768,1,14
casme_022,casme_022_0101,1822,1840,1855,1,14
casme_022,casme_022_0101,1915,1927,1941,1,14
casme_022,casme_022_0102,301,316,320,1,4+5+9
casme_022,casme_022_0102,321,337,0,1,14
casme_022,casme_022_0102,904,912,0,1,14
casme_022,casme_022_0503,2758,2774,0,1,23
casme_022,casme_022_0508,81,115,0,1,12
casme_023,casme_023_0402,3685,3701,3719,1,7
casme_023,casme_023_0402,3799,3811,3818,1,7+43
casme_023,casme_023_0402,3879,3891,3903,1,4+7
casme_023,casme_023_0102,331,335,346,2,43
casme_023,casme_023_0102,526,530,540,2,43
casme_023,casme_023_0102,727,732,740,2,43
casme_023,casme_023_0102,913,925,940,1,43
