subject,video_name,start_frame,apex_frame,end_frame,type_idx,au
samm_006,samm_006_1,70,80,92,1,4(B/C)+7B
samm_006,samm_006_1,445,448,453,2,4+7
samm_006,samm_006_1,238,243,248,2,4
samm_006,samm_006_1,40,45,50,2,4+7
samm_006,samm_006_1,417,423,427,2,4+7
samm_006,samm_006_1,644,649,657,2,4+7+43
samm_006,samm_006_1,1075,1081,1090,1,4
samm_006,samm_006_2,40,85,101,1,4D+7B+9B+ref(10)+24B
samm_006,samm_006_2,207,214,282,1,4+7+9+10+43
samm_006,samm_006_2,9,14,21,2,4+7
samm_006,samm_006_3,90,114,144,1,1C+2C+58
samm_006,samm_006_3,285,298,363,1,4D+R7C
samm_006,samm_006_3,375,391,426,1,1E+2E+5B+20B+58
samm_006,samm_006_3,17,20,25,2,15A+17
samm_006,samm_006_3,160,166,169,2,25+26
samm_006,samm_006_4,525,545,547,1,4D+ref(7)+17A+53
samm_006,samm_006_4,14,36,207,1,4+glare
samm_006,samm_006_4,215,226,529,1,4+glare
samm_006,samm_006_4,560,563,588,1,7D+all of the above
samm_006,samm_006_5,13,18,50,1,1D+2D+ref(5)+25
samm_006,samm_006_5,141,145,151,2,L20+21
samm_006,samm_006_5,228,236,240,2,4
samm_006,samm_006_5,417,423,432,1,4+15+17
samm_006,samm_006_5,533,540,554,1,1B+2B+25
samm_006,samm_006_5,93,98,141,1,1+2+L15A
samm_006,samm_006_5,173,175,216,1,17
samm_006,samm_006_5,249,252,288,1,3+25+26
samm_006,samm_006_5,619,622,631,2,5
samm_006,samm_006_6,61,76,91,1,12B+L14C
samm_006,samm_006_6,64,108,127,1,L14D+19+25
samm_006,samm_006_6,210,218,266,1,12B+17C+24
samm_006,samm_006_6,489,541,573,1,4C+A12D+25+26+ref(43E)
samm_006,samm_006_7,24,31,53,1,4B+12(B/C)+17B+(23/24) 
samm_006,samm_006_7,68,73,88,1,A12
samm_007,samm_007_3,30,32,36,2,20
samm_007,samm_007_4,37,42,49,2,24
samm_007,samm_007_5,331,381,432,1,subject do 2x  R2(C and then B)
samm_007,samm_007_5,32,37,41,2,26
samm_007,samm_007_5,366,371,378,2,R2
samm_007,samm_007_6,49,51,55,2,(R6 or R12)+R15
samm_007,samm_007_6,149,153,159,2,12
samm_007,samm_007_6,307,311,314,2,R6A+R12
samm_007,samm_007_6,149,152,183,1,12A or 14A
samm_007,samm_007_6,68,71,77,2,(R6 or R12) + R15
samm_007,samm_007_7,841,844,846,2,5B+24
samm_007,samm_007_7,74,92,130,1,18C
samm_007,samm_007_7,190,208,229,1,7B+L12B+54+56
samm_007,samm_007_7,844,868,910,1,6(B/C)+12E+25
samm_007,samm_007_7,31,35,42,2,12A
samm_008,samm_008_1,37,60,83,1,51+54
samm_008,samm_008_5,92,98,114,1,7
samm_008,samm_008_6,51,60,68,1,7
samm_008,samm_008_7,88,111,134,1,80 (big swallow) 
samm_008,samm_008_7,630,642,660,1,1D/E+2D/E+15D/E+17D/E 
samm_009,samm_009_2,72,75,80,2,31
